ID,성별,연령,학력,혼인상태,거주지역,직업,주업,직장지위,주5일근무제실시여부,차량보유여부,개인소득,소득분위,관광휴양여부,여행유형,월,계절,여행일수(박),여행총경비,지출비용포함인원수,1인지출비용,개인휴가사용여부,지역코드,시,숙박시설,여행활동1,여행활동2,여행활동3,여행활동4,여행활동5,주요이동교통수단,여행지선택이유_1순위,여행지선택이유_2순위,만족도_자연경관,만족도_문화유산,만족도_교통,만족도_식당및음식,만족도_쇼핑,만족도_관광정보및안내시설,만족도_관광지편의시설,만족도_지역관광종사자의친절성,만족도_체험프로그램,만족도_관광지물가,만족도_관광지혼잡도,전반적만족도,재방문의도,타인추천의도,총만족도
1155,1,3,4,1,16,1,3,1,2,1,3,3,Y,4,10,3,0,50000,1,50000,0,16,경상남도,0,N,N,N,N,Y,1,15,0,4,9,4,4,9,9,4,4,9,4,4,3,4,4,만족
1156,1,3,4,1,16,1,3,1,1,1,3,2,Y,4,5,1,1,175000,1,175000,0,14,전라남도,3,Y,N,N,N,Y,1,5,14,5,9,4,4,9,5,5,9,9,4,4,4,4,4,만족
1157,1,4,4,2,16,1,3,1,1,1,5,3,Y,4,7,2,0,70000,2,35000,0,7,울산광역시,0,N,N,Y,N,N,1,15,0,3,3,4,4,3,3,4,4,2,3,3,3,3,3,보통
1158,1,4,4,2,16,1,3,1,1,1,4,2,Y,4,8,2,0,195000,2,97500,0,11,충청북도,0,N,N,N,N,Y,1,15,0,9,9,3,4,4,4,3,4,4,3,4,4,4,4,만족
1163,1,4,4,2,16,1,3,1,1,1,6,3,Y,4,2,4,1,400000,4,100000,0,2,부산광역시,7,Y,N,Y,Y,N,1,15,12,4,4,3,4,4,4,3,4,2,3,3,4,4,4,만족
1164,2,3,4,2,16,1,3,1,1,1,4,4,Y,4,2,4,0,225000,2,112500,0,1,서울특별시,0,N,Y,N,Y,Y,10,11,13,9,9,3,3,4,4,4,4,3,5,3,4,4,4,만족
1165,1,4,4,2,16,1,3,1,2,1,5,3,Y,4,3,1,0,159000,2,79500,0,7,울산광역시,0,N,Y,N,N,Y,1,13,10,4,9,4,4,9,4,3,4,4,4,4,4,4,4,만족
1167,1,4,4,2,16,1,3,1,1,1,5,3,Y,4,7,2,0,156000,2,78000,0,2,부산광역시,0,N,Y,N,N,Y,1,13,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,만족
1172,1,5,4,2,16,1,7,1,2,1,6,4,Y,4,3,1,0,105000,2,52500,0,7,울산광역시,0,Y,Y,N,N,N,1,8,5,4,5,5,5,9,9,4,4,9,4,4,4,4,4,만족
1175,1,4,4,2,16,1,3,1,1,1,5,4,Y,4,12,4,0,70000,1,70000,0,16,경상남도,0,N,N,N,N,N,1,15,0,9,9,4,4,9,9,9,9,9,4,4,4,4,4,만족
1176,1,3,4,2,16,1,3,1,1,1,4,2,Y,4,10,3,0,150000,2,75000,0,2,부산광역시,0,N,Y,N,N,Y,1,13,3,9,9,3,4,9,4,4,4,4,3,4,4,4,4,만족
1177,1,4,4,2,16,1,7,1,1,1,6,3,Y,4,4,1,0,30000,1,30000,0,16,경상남도,0,Y,N,N,N,N,1,11,0,4,9,4,4,9,9,9,4,9,4,9,4,4,4,만족
1178,1,3,4,1,16,1,3,1,2,1,4,3,Y,4,5,1,0,70000,1,70000,0,7,울산광역시,0,N,N,N,N,Y,1,15,0,4,4,4,4,4,4,4,4,9,3,4,4,4,4,만족
1179,2,4,4,1,16,1,3,1,1,1,4,3,Y,4,7,2,0,296004,3,98668,0,3,대구광역시,0,N,Y,N,N,Y,1,14,8,9,9,3,5,9,4,4,4,4,4,3,4,4,4,만족
1180,1,4,3,2,16,1,4,1,1,1,4,3,Y,4,4,1,0,31999,1,31999,0,16,경상남도,0,Y,N,N,N,N,1,1,5,5,9,5,5,5,5,5,5,5,4,5,4,4,4,만족
1182,1,5,4,2,16,1,4,1,1,1,6,4,Y,4,10,3,0,140000,4,35000,0,7,울산광역시,0,Y,N,N,N,Y,1,4,2,5,4,5,5,5,4,5,5,5,4,4,4,4,4,만족
1185,1,4,3,2,16,1,7,1,1,1,3,3,Y,4,10,3,0,95000,4,23750,0,16,경상남도,0,N,N,N,N,Y,1,5,4,5,4,5,5,4,5,5,5,5,5,5,4,4,4,만족
1186,1,5,4,2,16,3,6,3,2,1,6,4,Y,4,10,3,0,150000,4,37500,0,16,경상남도,0,N,N,N,N,Y,1,13,0,3,3,4,4,3,3,3,3,3,3,3,3,3,3,보통
1187,1,4,4,2,16,1,3,1,1,1,5,3,Y,4,10,3,0,100000,1,100000,0,16,경상남도,0,N,N,N,Y,N,1,13,0,4,3,4,3,3,4,3,3,3,3,4,3,3,3,보통
1188,1,6,3,2,16,2,7,2,1,1,3,2,Y,1,6,2,1,250000,2,125000,0,16,경상남도,0,Y,N,N,N,N,1,1,4,4,4,5,5,9,5,5,5,9,5,5,4,4,4,만족
1191,1,4,4,2,16,1,3,1,1,1,4,2,Y,4,7,2,0,15000,1,15000,0,16,경상남도,0,N,N,N,N,Y,1,13,0,3,3,4,4,9,4,4,4,9,3,3,3,3,3,보통
1193,2,2,4,1,16,1,3,1,1,1,2,3,Y,4,7,2,0,100000,2,50000,0,3,대구광역시,0,N,N,N,N,Y,1,13,0,4,3,3,4,4,3,3,3,3,2,3,4,3,3,만족
1194,1,3,4,1,16,1,2,1,1,1,4,3,Y,4,2,4,0,70000,2,35000,0,16,경상남도,0,Y,Y,N,N,N,1,5,0,5,9,4,4,9,9,4,4,9,4,4,4,4,4,만족
1198,1,5,3,2,16,3,5,3,2,1,3,2,Y,4,3,1,0,79000,2,39500,0,16,경상남도,0,Y,Y,N,N,N,1,3,1,5,9,3,4,9,9,4,9,9,9,9,4,4,3,만족
1199,1,3,4,2,16,1,3,1,1,1,4,2,N,1,4,1,0,88333,1,88333,0,16,경상남도,0,Y,N,N,N,N,1,14,9,5,4,5,5,5,5,5,5,5,4,4,4,4,4,만족
1200,1,5,4,2,16,1,3,1,1,1,4,3,N,1,3,1,0,235000,4,58750,0,16,경상남도,0,Y,N,N,N,N,1,4,3,5,5,5,5,9,5,5,5,9,4,5,5,5,5,매우만족
1201,1,3,3,2,16,1,7,1,1,1,4,3,N,5,3,1,0,35000,1,35000,0,14,전라남도,0,N,Y,Y,N,N,1,1,2,5,9,5,5,5,5,5,5,5,5,5,5,4,4,매우만족
1202,2,5,4,2,16,1,4,1,1,1,3,4,Y,4,6,2,0,78000,1,78000,0,16,경상남도,0,Y,N,Y,Y,N,1,11,2,5,4,4,4,4,3,4,3,3,3,4,4,4,4,만족
1204,2,5,1,2,16,3,6,3,1,1,3,2,Y,4,6,2,1,97500,1,97500,0,2,부산광역시,12,Y,N,N,N,N,1,2,6,5,5,4,5,5,5,4,5,5,4,5,4,4,4,만족
1205,1,4,3,2,16,1,8,1,2,1,3,2,Y,4,1,4,0,115000,4,28750,0,3,대구광역시,0,N,N,N,N,Y,1,4,2,5,5,5,4,5,5,5,5,5,5,5,4,4,4,만족
1206,1,5,3,2,16,1,4,1,2,1,3,2,Y,4,6,2,0,38334,1,38334,0,3,대구광역시,0,Y,N,N,N,Y,1,13,4,5,4,5,5,4,5,5,5,4,5,5,4,4,4,만족
1207,1,4,4,2,16,1,3,1,1,1,6,4,N,1,2,4,0,167001,3,55667,0,14,전라남도,0,Y,N,Y,Y,N,1,1,2,5,3,3,3,4,3,3,4,2,3,3,4,3,3,만족
1209,2,2,4,1,17,1,4,1,2,2,3,2,Y,4,8,2,1,150000,1,150000,0,3,대구광역시,1,N,N,N,N,Y,3,13,0,5,5,5,4,4,4,5,4,5,3,3,4,4,4,만족
1212,1,3,4,1,17,1,3,1,1,1,4,4,Y,4,10,3,0,300000,1,300000,0,1,서울특별시,0,N,Y,N,N,Y,5,15,0,3,3,3,4,9,4,4,4,9,9,4,3,3,3,보통
1217,1,4,4,2,17,2,5,2,2,1,7,4,Y,4,4,1,7,126500,1,126500,0,16,경상남도,12,N,Y,N,N,N,3,15,0,9,9,4,3,9,9,9,9,9,9,9,3,3,3,보통
1220,1,4,4,2,17,3,4,3,2,1,7,4,Y,4,11,3,1,2500000,10,250000,0,2,부산광역시,2,Y,Y,Y,N,Y,3,14,2,5,9,5,5,9,9,1,9,9,4,2,5,4,4,매우만족
